Student ID,Hostel,Year,Branch1,Branch2
212,AH1,3,CS,NONE
213,AH2,3,CS,NONE
214,AH3,3,CS,NONE
215,AH3,3,CS,NONE
216,AH3,3,CS,NONE
217,AH3,3,CS,NONE
218,AH3,3,CS,NONE
219,AH3,3,CS,NONE
220,AH3,3,CS,NONE
221,AH3,3,CS,NONE
222,AH3,3,CS,NONE
223,AH3,3,CS,NONE
224,AH3,3,CS,NONE
225,AH3,3,CS,NONE
226,AH3,3,CS,NONE
227,AH3,3,CS,NONE
228,AH3,3,CS,NONE
229,AH3,3,CS,NONE
230,AH3,3,CS,NONE
231,AH3,3,CS,NONE
232,AH4,3,CS,NONE
233,AH4,3,CS,NONE
234,AH4,3,CS,NONE
235,AH4,3,CS,NONE
236,AH4,3,CS,NONE
237,AH4,3,CS,NONE
238,AH4,3,CS,NONE
239,AH4,3,CS,NONE
240,AH4,3,CS,NONE
241,AH4,3,CS,NONE
242,AH4,3,CS,NONE
243,AH4,3,CS,NONE
244,AH4,3,CS,NONE
245,AH4,3,CS,NONE
246,AH4,3,CS,NONE
247,AH4,3,CS,NONE
248,AH4,3,CS,NONE
249,AH4,3,CS,NONE
250,AH4,3,CS,NONE
251,AH4,3,CS,NONE
252,AH4,3,CS,NONE
253,AH4,3,CS,NONE
254,AH4,3,CS,NONE
255,AH4,3,CS,NONE
256,AH4,3,CS,NONE
257,AH4,3,CS,NONE
258,AH4,3,CS,NONE
259,AH4,3,CS,NONE
260,AH4,3,CS,NONE
261,AH4,3,CS,NONE
262,AH4,3,CS,NONE
263,AH4,3,CS,NONE
264,AH4,3,CS,NONE
265,AH4,3,CS,NONE
266,AH4,3,CS,NONE
267,AH4,3,CS,NONE
268,AH4,3,CS,NONE
269,AH4,3,CS,NONE
270,AH4,3,CS,NONE
271,AH4,3,CS,NONE
272,AH4,3,CS,NONE
273,AH4,3,CS,NONE
274,AH4,3,CS,NONE
275,AH4,3,CS,NONE
276,AH4,3,CS,NONE
277,AH4,3,CS,NONE
278,AH4,3,CS,NONE
279,AH4,3,CS,NONE
280,AH4,3,CS,NONE
281,AH4,3,CS,NONE
282,AH4,3,CS,NONE
283,AH4,3,CS,NONE
284,AH4,3,CS,NONE
285,AH4,3,CS,NONE
286,AH4,3,CS,NONE
287,AH4,3,CS,NONE
288,AH4,3,CS,NONE
289,AH4,3,CS,NONE
290,AH4,3,CS,NONE
291,AH4,3,CS,NONE
292,AH5,3,CS,NONE
293,AH5,3,CS,NONE
294,AH5,3,CS,NONE
295,AH5,3,CS,NONE
296,AH5,3,CS,NONE
297,AH5,3,CS,NONE
298,AH5,3,CS,NONE
299,AH5,3,CS,NONE
300,AH5,3,CS,NONE
301,AH5,3,CS,NONE
302,AH5,3,CS,NONE
303,AH5,3,CS,NONE
304,AH5,3,CS,NONE
305,AH5,3,CS,NONE
306,AH5,3,CS,NONE
307,AH5,3,CS,NONE
308,AH5,3,CS,NONE
309,AH5,3,CS,NONE
310,AH5,3,CS,NONE
311,AH5,3,CS,NONE
312,AH5,3,CS,NONE
313,AH5,3,CS,NONE
314,AH5,3,CS,NONE
315,AH5,3,CS,NONE
316,AH5,3,CS,NONE
317,AH5,3,CS,NONE
318,AH5,3,CS,NONE
319,AH5,3,CS,NONE
320,AH5,3,CS,NONE
321,AH5,3,CS,NONE
322,AH5,3,CS,NONE
323,AH5,3,CS,NONE
324,AH5,3,CS,NONE
325,AH5,3,CS,NONE
326,AH5,3,CS,NONE
327,AH5,3,CS,NONE
328,AH7,3,CS,NONE
329,AH7,3,CS,NONE
330,AH7,3,CS,NONE
331,AH7,3,CS,NONE
332,AH7,3,CS,NONE
333,AH7,3,CS,NONE
334,AH7,3,CS,NONE
335,AH7,3,CS,NONE
336,AH7,3,CS,NONE
337,AH7,3,CS,NONE
338,AH7,3,CS,NONE
339,AH7,3,CS,NONE
340,AH7,3,CS,NONE
341,AH7,3,CS,NONE
342,AH7,3,CS,NONE
343,AH7,3,CS,NONE
344,AH7,3,CS,NONE
345,AH7,3,CS,NONE
346,AH7,3,CS,NONE
347,AH7,3,CS,NONE
348,AH7,3,CS,NONE
349,AH7,3,CS,NONE
350,AH7,3,CS,NONE
351,AH7,3,CS,NONE
352,AH7,3,CS,NONE
353,AH7,3,CS,NONE
354,AH7,3,CS,NONE
355,CH4,3,ENI,NONE
356,CH4,3,ENI,NONE
357,CH4,3,ENI,NONE
358,CH4,3,ENI,NONE
359,CH4,3,ENI,NONE
360,CH4,3,ENI,NONE
361,CH5,3,ENI,NONE
362,AH2,3,ENI,NONE
363,AH2,3,ENI,NONE
